target,model,finger_print_method,optimized_for,metric,metric_type,metric_value,n_samples,n_correct,n_incorrect,parameters,resampling
NR-AR,RandomForest,atom_pair,accuracy,accuracy,val,0.984517945109078,1421.0,1398.9999999999998,22.000000000000227,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,val,0.9817064289504231,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,val,0.7923508156650194,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,val,0.8789056397437902,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,val,0.6224422360780315,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,accuracy,train,0.8511904761904762,672.0,572.0,100.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,train,0.844937975190076,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,train,0.8199279711884755,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,train,0.8947903380102041,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,train,0.867348961178578,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,n,train,672.0,672.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,accuracy,test,0.9259681093394078,878.0,813.0,65.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,test,0.9464428296661268,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,test,0.5229656872988674,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,test,0.6373117033603709,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,test,0.1349234917330775,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,n,test,878.0,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",random_under
NR-AR,RandomForest,atom_pair,accuracy,selection,val,0.3712931171011167,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,n,val,1421.0,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,accuracy,val,0.9831104855735396,1421.0,1396.9999999999998,24.000000000000227,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,val,0.9791295931474062,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,val,0.755702005730659,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,val,0.5512127011404468,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,val,0.3712931171011167,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,accuracy,train,0.8233714483714484,11544.0,9505.0,2039.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,train,0.8183410915309624,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,train,0.8183410915309624,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,train,0.9630922802700348,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,train,0.9665765158145856,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,n,train,11544.0,11544.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,accuracy,test,0.9760820045558086,878.0,857.0,21.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,test,0.9737247486212164,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,test,0.5739341421143848,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,test,0.5946697566628042,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,test,0.0795643552859586,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,n,test,878.0,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smote
NR-AR,RandomForest,atom_pair,accuracy,selection,val,0.3728356669449187,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,n,val,1421.0,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,accuracy,val,0.9831104855735396,1421.0,1396.9999999999998,24.000000000000227,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,val,0.9791295931474062,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,val,0.755702005730659,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,val,0.5484689892204343,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,val,0.3728356669449187,1421.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,accuracy,train,0.8238414050952091,11501.0,9475.0,2026.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,train,0.8186384005282001,11501.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,train,0.8185222379132565,11501.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,train,0.9661228020453017,11501.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,train,0.9688142473387712,11501.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,n,train,11501.0,11501.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,accuracy,test,0.9760820045558086,878.0,857.0,21.0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,f1_weighted,test,0.9737247486212164,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,f1_macro,test,0.5739341421143848,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,roc_auc,test,0.6155272305909618,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,pr_auc,test,0.0934959773835421,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,RandomForest,atom_pair,accuracy,n,test,878.0,878.0,,,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",smoteenn
NR-AR,LogisticRegression,atom_pair,accuracy,selection,val,0.3789319524346747,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,n,val,1421.0,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,accuracy,val,0.9831104855735396,1421.0,1396.9999999999998,24.000000000000227,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,f1_weighted,val,0.98045065985401,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,f1_macro,val,0.7814070351758794,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,roc_auc,val,0.7151324011873145,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,pr_auc,val,0.3789319524346747,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
NR-AR,LogisticRegression,atom_pair,accuracy,accuracy,train,0.7778932778932779,11544.0,8980.0,2564.0,"{'C': 0.001, 'l1_ratio': 1.0}",smoten
